Date,Country,MV_USD,PnL_USD,Country_Ret_USD
2025-05-10,US,1621504.8,0.0,0.0
2025-05-10,HK,397429.1834296272,0.0,0.0
2025-05-10,JP,0.0,0.0,
2025-05-12,US,1668968.8,47463.999999999985,0.029271575390957823
2025-05-12,HK,421748.86150052317,24430.574294237602,0.061488673139158526
2025-05-12,JP,0.0,0.0,
2025-05-13,US,4554310.4,37796.6000000001,0.02264667859578927
2025-05-13,HK,1213902.2320365706,-16365.057846646847,-0.03887195121951215
2025-05-13,JP,0.0,0.0,
2025-05-14,US,4619498.4,65187.99999999991,0.014313473231864014
2025-05-14,HK,1254354.2974537767,41362.910115423736,0.034099920697858936
2025-05-14,JP,0.0,0.0,
2025-05-15,US,4569310.6,-50187.79999999999,-0.010864339730045146
2025-05-15,HK,1238886.2242385733,-14416.829607120715,-0.011503067484662576
2025-05-15,JP,0.0,0.0,
2025-05-16,US,4572089.6,2779.000000000041,0.0006081880273142389
2025-05-16,HK,1185717.596130761,-52848.02900096585,-0.04266873545384019
2025-05-16,JP,0.0,0.0,
2025-05-17,US,4572089.6,0.0,0.0
2025-05-17,HK,1185717.596130761,0.0,0.0
2025-05-17,JP,0.0,0.0,
2025-05-19,US,4000048.4,-2806.200000000191,-0.000613767499219654
2025-05-19,HK,1144125.2389348517,-40313.13761347635,-0.03403565640194492
2025-05-19,JP,0.0,0.0,
2025-05-20,US,4477754.4,-19418.999999999945,-0.004854691258235761
2025-05-20,HK,1898353.2196232893,23973.30365446925,0.02097315436241611
2025-05-20,JP,0.0,0.0,
2025-05-21,US,4362924.0,-114830.4,-0.025644640090130892
2025-05-21,HK,1918425.1878973125,21817.99563814964,0.011503697617091137
2025-05-21,JP,0.0,0.0,
2025-05-22,US,4389182.0,26257.999999999898,0.006018440843801061
2025-05-22,HK,2405922.972688502,-62336.891182822525,-0.03249390739236393
2025-05-22,JP,0.0,0.0,
2025-05-23,US,4365138.4,-24043.599999999806,-0.005477922765563105
2025-05-23,HK,2870022.2107692426,-16076.534089936516,-0.006681851486094723
2025-05-23,JP,0.0,0.0,
2025-05-24,US,4365138.4,0.0,0.0
2025-05-24,HK,2870022.2107692426,0.0,0.0
2025-05-24,JP,0.0,0.0,
2025-05-26,US,4790038.4,0.0,0.0
2025-05-26,HK,2816885.765723941,-52256.663969255154,-0.018213339089911643
2025-05-26,JP,0.0,0.0,
2025-05-27,US,4862412.8,72374.39999999998,0.015109356952127976
2025-05-27,HK,2806077.574392137,-8536.538427254665,-0.003032933853480764
2025-05-27,JP,0.0,0.0,
2025-05-28,US,4825491.6,-36921.20000000017,-0.007593185013004279
2025-05-28,HK,2775336.843409021,-30203.868571452163,-0.010765792291829125
2025-05-28,JP,0.0,0.0,
2025-05-29,US,4817446.8,-8044.799999999934,-0.001667146203300807
2025-05-29,HK,2850555.7485291036,73833.78026058964,0.026590267626481277
2025-05-29,JP,0.0,0.0,
2025-05-30,US,4743550.8,-73895.99999999991,-0.01533924567677632
2025-05-30,HK,2786279.9095036546,-61872.694729176976,-0.02172379901176074
2025-05-30,JP,0.0,0.0,
2025-05-31,US,4743550.8,0.0,0.0
2025-05-31,HK,2786279.9095036546,0.0,0.0
2025-05-31,JP,0.0,0.0,
2025-06-02,US,4826622.8,83071.99999999985,0.017512619449548184
2025-06-02,HK,2778662.55230731,-7262.085277971519,-0.002606705572720006
2025-06-02,JP,0.0,0.0,
2025-06-03,US,4844775.2,18152.400000000056,0.0037608905340603916
2025-06-03,HK,2804757.341001047,26980.34247588296,0.00971292601609414
2025-06-03,JP,0.0,0.0,
2025-06-04,US,4821167.6,-23607.600000000166,-0.004872795749119623
2025-06-04,HK,2844613.7464030525,40056.54437901891,0.014282662642826585
2025-06-04,JP,0.0,0.0,
2025-06-05,US,5032312.2,6599.600000000087,0.0013688800198524706
2025-06-05,HK,2807927.090664983,-37201.64111829435,-0.013075556372093226
2025-06-05,JP,0.0,0.0,
2025-06-06,US,5120270.2,87958.0,0.017478645303445207
2025-06-06,HK,2768410.189591116,-38636.53748472931,-0.013764123379940223
2025-06-06,JP,0.0,0.0,
2025-06-07,US,5120270.2,0.0,0.0
2025-06-07,HK,2768410.189591116,0.0,0.0
2025-06-07,JP,0.0,0.0,
2025-06-09,US,5137322.4,17052.20000000005,0.0033303320594292177
2025-06-09,HK,2813480.4876622967,45317.259124283264,0.016370876781069472
2025-06-09,JP,0.0,0.0,
2025-06-10,US,5127018.6,-10303.799999999846,-0.0020056751742892056
2025-06-10,HK,2407429.3919553235,-23695.38439813429,-0.008422754800222856
