Date,Country,MV_KRW,PnL_KRW,Country_Ret_KRW
2025-06-28,US,5827127373.90625,0.0,0.0
2025-06-28,HK,3127824283.7234497,0.0,0.0
2025-06-28,JP,0.0,0.0,
2025-06-30,US,6518846642.81687,-22385783.750878885,-0.0038111386800582367
2025-06-30,HK,3220022373.815918,67313969.8028565,0.021351156268424
2025-06-30,JP,0.0,0.0,
2025-07-01,US,6696756183.0,-87465328.20000014,-0.013567443190049776
2025-07-01,HK,3184291098.248291,0.0,0.0
2025-07-01,JP,0.0,0.0,
2025-07-02,US,7259696951.092847,-88466885.64140607,-0.013141315943889698
2025-07-02,HK,3175606582.788086,-26046551.251220524,-0.008135344511339793
2025-07-02,JP,0.0,0.0,
2025-07-03,US,7359085723.55,103887107.09999977,0.014318988713066022
2025-07-03,HK,3089380896.5286255,-83659568.65692145,-0.02636574275519974
2025-07-03,JP,0.0,0.0,
2025-07-04,US,7371850936.1613035,0.0,0.0
2025-07-04,HK,3205975770.440674,-717630.5938722529,-0.00023183256661002318
2025-07-04,JP,0.0,0.0,
2025-07-05,US,7371850936.1613035,0.0,0.0
2025-07-05,HK,3205975770.440674,0.0,0.0
2025-07-05,JP,0.0,0.0,
2025-07-07,US,7543831726.550977,144277407.82836956,0.01949812132107928
2025-07-07,HK,3253499078.833008,36233477.92968773,0.011262196667727514
2025-07-07,JP,0.0,0.0,
2025-07-08,US,8387255253.392261,-42533286.54924352,-0.005587130664758339
2025-07-08,HK,4293714740.9490967,75527838.9541625,0.02300426162880623
2025-07-08,JP,0.0,0.0,
2025-07-09,US,8269467550.467285,-91307751.27358371,-0.010920967013019919
2025-07-09,HK,4335850572.7560425,-60958251.54327376,-0.014252527411216338
2025-07-09,JP,0.0,0.0,
2025-07-10,US,9953188671.0,-32071907.000000037,-0.0038707254905144986
2025-07-10,HK,3398285596.557617,14091262.680053595,0.00324116949879425
2025-07-10,JP,0.0,0.0,
2025-07-11,US,9183864895.127686,-156883145.19421375,-0.01576623273074494
2025-07-11,HK,3595249378.527832,46024312.15283185,0.013546537386540825
2025-07-11,JP,0.0,0.0,
2025-07-12,US,9183864895.127686,0.0,0.0
2025-07-12,HK,3595249378.527832,0.0,0.0
2025-07-12,JP,0.0,0.0,
2025-07-14,US,10618745061.796875,286069512.36181587,0.031024153379234094
2025-07-14,HK,3665314450.185425,55732497.32592775,0.01544015291903171
2025-07-14,JP,0.0,0.0,
2025-07-15,US,10612041643.997314,-36290200.84643512,-0.003408064415649101
2025-07-15,HK,4428801455.140503,206092663.58789077,0.05607148953976343
2025-07-15,JP,0.0,0.0,
2025-07-16,US,11003264723.635986,357130097.12255853,0.03354551765982292
2025-07-16,HK,4978096156.84845,-5638880.547637998,-0.0012691220995157866
2025-07-16,JP,0.0,0.0,
2025-07-17,US,12179735692.72284,38181691.64355484,0.003473866305490226
2025-07-17,HK,4979064436.214905,6588379.984863345,0.0013249696751397597
2025-07-17,JP,0.0,0.0,
2025-07-18,US,12035265999.969067,-203040560.8580931,-0.016590576469786525
2025-07-18,HK,5066685720.148254,62848535.73937972,0.01256006808838731
2025-07-18,JP,0.0,0.0,
2025-07-19,US,12035265999.969067,0.0,0.0
2025-07-19,HK,5066685720.148254,0.0,0.0
2025-07-19,JP,0.0,0.0,
2025-07-21,US,13598796712.620281,-352006164.59221834,-0.029269135929000236
2025-07-21,HK,3953521782.1777344,44277261.10382101,0.00874491349779327
2025-07-21,JP,0.0,0.0,
2025-07-22,US,11632906766.996313,-206995038.86116338,-0.015317956669309312
2025-07-22,HK,4964346981.788635,-12340232.386779923,-0.0031415818155743937
2025-07-22,JP,0.0,0.0,
2025-07-23,US,12517902264.03667,40682124.27380385,0.0035023292993243776
2025-07-23,HK,5317727863.366699,72031609.50622581,0.014542295349373282
2025-07-23,JP,0.0,0.0,
2025-07-24,US,12948664662.280079,-134217661.27358395,-0.010769356493037811
2025-07-24,HK,5670420216.041565,28158283.189391837,0.00531451069508114
2025-07-24,JP,0.0,0.0,
2025-07-25,US,12915084643.999998,-17367599.20000007,-0.0013429470972245124
2025-07-25,HK,5603982792.269897,-59092503.6666868,-0.010434702097125097
2025-07-25,JP,0.0,0.0,
2025-07-26,US,12915084643.999998,0.0,0.0
2025-07-26,HK,5603982792.269897,0.0,0.0
2025-07-26,JP,0.0,0.0,
2025-07-28,US,12983915360.797411,-32652276.221801866,-0.002508517976694114
2025-07-28,HK,5612479650.6111145,-35822220.52230849,-0.006342122170449821
2025-07-28,JP,0.0,0.0,
2025-07-29,US,12948804986.690233,-86836014.8243168,-0.006661424337040334
2025-07-29,HK,6340948090.888596,20733193.449783355,0.003679372756791033
2025-07-29,JP,0.0,0.0,
2025-07-30,US,13030987423.492945,76864094.8273077,0.0059335631510261016
2025-07-30,HK,6224041393.359375,-119166567.77343765,-0.018786482881156568
2025-07-30,JP,0.0,0.0,
2025-07-31,US,13028508373.543652,-36821710.61645513,-0.002818276848034486
2025-07-31,HK,6107299310.494995,-128896803.38745092,-0.020669138852210358
2025-07-31,JP,0.0,0.0,
2025-08-01,US,11233233532.717896,-445522681.99768066,-0.034220806109371574
2025-08-01,HK,5692974430.6201935,-38717534.898757964,-0.006344527509401051
2025-08-01,JP,0.0,0.0,
2025-08-02,US,11233233532.717896,0.0,0.0
2025-08-02,HK,5692974430.6201935,0.0,0.0
2025-08-02,JP,0.0,0.0,
2025-08-04,US,11267388343.608337,44895864.83459462,0.004000523592293532
2025-08-04,HK,5850430532.437134,158589420.46966553,0.02786258740361197
2025-08-04,JP,0.0,0.0,
2025-08-05,US,11051034126.1834,-162932246.16998276,-0.014529391658706224
2025-08-05,HK,5830298244.171143,7482447.280883701,0.0012850221511179845
2025-08-05,JP,0.0,0.0,
2025-08-06,US,11211877759.81045,136950145.07359636,0.012365795568158817
2025-08-06,HK,5971010701.538086,128302563.3056642,0.02195943392518648
2025-08-06,JP,0.0,0.0,
2025-08-07,US,10136288691.486584,25262902.743310243,0.0022567910756900573
2025-08-07,HK,6068184359.194183,106380628.06167595,0.01784369846094679
2025-08-07,JP,0.0,0.0,
2025-08-08,US,10093590513.01587,-46949235.53386207,-0.004629857828041589
